Date,TATAMOTORS.NS,HAL.NS,KPITTECH.NS,IDBI.NS,TATAPOWER.NS,SBIN.NS,PIDILITIND.NS,POLYCAB.NS,DMART.NS,INFY.NS
2019-07-25 00:00:00+05:30,143.4091033935547,289.19451904296875,78.5091552734375,29.772193908691406,57.6210823059082,321.2466735839844,1201.8201904296875,571.0109252929688,1420.1500244140625,704.6719360351562
2019-07-26 00:00:00+05:30,146.2415008544922,290.5484313964844,77.25761413574219,30.11051368713379,58.32320022583008,322.4703369140625,1210.92236328125,571.3994750976562,1425.050048828125,698.0198364257812
2019-07-29 00:00:00+05:30,136.70079040527344,290.24755859375,79.23117065429688,29.143884658813477,57.480655670166016,323.59979248046875,1214.1517333984375,590.5335693359375,1449.9000244140625,701.9668579101562
2019-07-30 00:00:00+05:30,132.6260986328125,289.98968505859375,80.14575958251953,26.678979873657227,55.14023971557617,308.3045959472656,1202.408447265625,554.7907104492188,1459.699951171875,703.075439453125
2019-07-31 00:00:00+05:30,134.76283264160156,284.2298278808594,76.48744201660156,26.872303009033203,56.68490982055664,312.681396484375,1214.0537109375,544.3009643554688,1482.699951171875,703.9180297851562
2019-08-01 00:00:00+05:30,128.75018310546875,280.21087646484375,76.72811126708984,27.307289123535156,55.935977935791016,298.5156555175781,1185.4786376953125,548.234619140625,1483.5999755859375,681.921875
2019-08-02 00:00:00+05:30,129.89308166503906,276.2993469238281,77.64270782470703,27.162294387817383,55.37427520751953,290.3268127441406,1229.8092041015625,541.047119140625,1514.199951171875,687.9088134765625
2019-08-05 00:00:00+05:30,122.9859848022461,270.9478759765625,79.47185516357422,27.21062469482422,54.204071044921875,282.6086120605469,1245.760498046875,535.5108642578125,1490.050048828125,688.884521484375
2019-08-06 00:00:00+05:30,121.74369812011719,273.0540466308594,79.95320892333984,27.25895881652832,55.51470184326172,283.6910400390625,1280.69677734375,554.4021606445312,1490.449951171875,686.8888549804688
2019-08-07 00:00:00+05:30,116.67518615722656,273.0970764160156,80.09761047363281,26.485652923583984,55.280662536621094,272.8667297363281,1262.2989501953125,550.9055786132812,1434.300048828125,688.3521728515625
2019-08-08 00:00:00+05:30,123.28413391113281,272.3233642578125,79.61624908447266,26.823974609375,54.06364440917969,277.0552673339844,1300.41552734375,548.4774169921875,1429.75,699.572021484375
2019-08-09 00:00:00+05:30,121.29647827148438,276.0629577636719,80.0013427734375,26.485652923583984,53.8296012878418,274.2315673828125,1322.825439453125,557.7044677734375,1450.800048828125,700.5475463867188
2019-08-13 00:00:00+05:30,121.19709014892578,273.7847595214844,80.24201965332031,25.857343673706055,52.19131088256836,266.70159912109375,1315.3392333984375,548.574462890625,1460.9000244140625,678.2855834960938
2019-08-14 00:00:00+05:30,120.15357208251953,282.8114013671875,81.15660095214844,26.292327880859375,51.95726776123047,272.72552490234375,1318.3726806640625,553.965087890625,1490.5999755859375,687.1991577148438
2019-08-16 00:00:00+05:30,120.60079956054688,280.46875,82.07118225097656,24.06907844543457,52.51896667480469,273.8079833984375,1340.1466064453125,551.2455444335938,1492.699951171875,686.9775390625
2019-08-19 00:00:00+05:30,120.05419921875,283.3056640625,85.2962646484375,27.01729965209961,53.59556198120117,269.9959411621094,1339.8040771484375,546.2435302734375,1504.699951171875,689.72705078125
2019-08-20 00:00:00+05:30,123.08536529541016,287.1097412109375,86.5099105834961,25.80901336669922,52.42535400390625,267.031005859375,1341.859130859375,540.707275390625,1475.0,703.1198120117188
2019-08-21 00:00:00+05:30,111.7060546875,284.9820556640625,88.16050720214844,24.55239486694336,47.838130950927734,261.1011657714844,1337.064208984375,530.5574951171875,1481.75,709.062255859375
2019-08-22 00:00:00+05:30,107.03507232666016,279.3941345214844,89.17996978759766,23.634098052978516,49.99131774902344,252.77113342285156,1332.219970703125,520.359130859375,1485.75,705.736328125
2019-08-23 00:00:00+05:30,110.36439514160156,277.6103515625,88.35468292236328,23.87575340270996,51.02110290527344,255.17135620117188,1330.605224609375,524.729736328125,1470.199951171875,711.5014038085938
2019-08-26 00:00:00+05:30,109.86747741699219,277.11602783203125,88.45177459716797,27.113962173461914,52.378543853759766,263.7366943359375,1356.68505859375,549.2544555664062,1531.050048828125,711.8117065429688
2019-08-27 00:00:00+05:30,119.60697174072266,279.90997314453125,92.28694915771484,28.563907623291016,51.81684112548828,268.9135437011719,1342.495361328125,567.951416015625,1534.0999755859375,695.935546875
2019-08-28 00:00:00+05:30,115.63166046142578,281.99462890625,91.07329559326172,25.857343673706055,51.91046142578125,268.1605224609375,1348.8564453125,554.6934814453125,1553.300048828125,711.7674560546875
2019-08-29 00:00:00+05:30,113.59432983398438,279.5660705566406,93.30643463134766,25.229036331176758,51.95726776123047,258.3716125488281,1344.74609375,576.5957641601562,1547.050048828125,715.7142333984375
2019-08-30 00:00:00+05:30,115.97950744628906,279.4156799316406,94.3259048461914,25.905675888061523,53.127479553222656,257.759765625,1348.2200927734375,597.089599609375,1571.1500244140625,722.7655029296875
2019-09-03 00:00:00+05:30,111.95451354980469,277.24493408203125,95.19975280761719,27.790603637695312,50.41259002685547,252.62998962402344,1319.7918701171875,575.041748046875,1508.0,722.18896484375
2019-09-04 00:00:00+05:30,108.82395935058594,279.00726318359375,93.98609161376953,26.1473331451416,50.64663314819336,258.93634033203125,1331.5350341796875,586.162841796875,1524.8499755859375,728.4418334960938
2019-09-05 00:00:00+05:30,117.32117462158203,283.69256591796875,97.86980438232422,26.43732261657715,51.77003479003906,257.2420654296875,1340.0489501953125,586.9883422851562,1521.75,739.7503662109375
